id procesu, czy nieblokujacy, dlugosc, czas, przepustowosc
0, 0, 1, 3.975074e-07, 19.193088
0, 0, 2, 2.932502e-07, 52.033347
0, 0, 4, 2.971865e-07, 102.688309
0, 0, 8, 3.083114e-07, 197.965922
0, 0, 16, 3.175810e-07, 384.375367
0, 0, 32, 3.147961e-07, 775.551557
0, 0, 64, 3.254700e-07, 1500.234484
0, 0, 128, 3.413152e-07, 2861.175187
0, 0, 256, 3.448095e-07, 5664.360412
0, 0, 512, 4.126596e-07, 9466.035070
0, 0, 1024, 5.276343e-07, 14806.658034
0, 1, 1, 2.455981e-07, 31.064546
0, 1, 2, 2.454362e-07, 62.170073
0, 1, 4, 2.465749e-07, 123.765942
0, 1, 8, 2.486267e-07, 245.489099
0, 1, 16, 2.466659e-07, 494.881229
0, 1, 32, 2.462602e-07, 991.392775
0, 1, 64, 2.555389e-07, 1910.790239
0, 1, 128, 2.740780e-07, 3563.081791
0, 1, 256, 2.926863e-07, 6673.099971
0, 1, 512, 3.546302e-07, 11014.996143
0, 1, 1024, 4.776539e-07, 16355.985483
